Imie,Nazwisko,Pesel,Czy_Absolwent
Stanley,Martinezz,9804029981,0
Tyrone,Lam,4408108329,1
Lori,Meyer,1912210436,1
Kevin,Butler,4610091010,0
Lisa,Sandoval,5310099827,0
Robert,Hopkins,2502253932,1
Ricky,Montgomery,3104213178,1
Joe,Smith,5109165103,0
Walter,Benton,3502207072,0
John,Horn,4106197314,0
Jessica,Wilson,8103030096,1
Valerie,Webb,3508256010,1
Michelle,Dennis,5707083128,1
Norman,Arias,7907120619,1
Christopher,Smith,1009111903,0
Blake,Myers,0207064877,1
Kenneth,Aguilar,6404014106,0
Laura,Moore,7510249961,0
Brandy,Green,8807119836,0
Alicia,Cantu,5605224456,0
David,Jones,9410044503,0
Tiffany,Porter,7502079143,1
Christopher,Lane,3808176040,0
Brittany,Romero,1011011743,1
Michael,Donaldson,6109069533,0
Aaron,Reeves,1903137081,0
Alex,Brady,4812289715,0
Joseph,Henderson,5808175377,1
Arthur,Brown,1504040089,1
Andrea,Torres,9002049633,0
William,Stewart,8506141108,1
Scott,Gardner,2802215952,0
David,Hamilton,7805272236,0
Norma,Ruiz,9705130776,0
Kimberly,Martinez,1305037225,1
Daniel,Bowers,9911099587,1
Lisa,Santiago,4411129118,0
Cory,Bender,3306085277,1
Andrea,Weaver,0106160903,0
Matthew,Phelps,4706139135,1
Brandon,Proctor,7306080833,0
Randall,Baker,1009049499,0
Alexis,Gardner,2905190911,1
Douglas,Smith,2512181438,1
Melvin,Brewer,6004121177,0
Jennifer,Silva,7304039162,1
Tanya,Morrow,2303202575,1
Billy,Barrett,1304086564,1
Sue,Davis,0503014849,0
Erika,Baldwin,0203034144,1
Teresa,Bryant,8008268540,0
Daniel,Moss,4306097909,1
Caleb,Rojas,8506129961,1
Daniel,Contreras,7606261083,0
Julie,Carlson,5405229086,0
Kelly,Hudson,8602189720,0
Robin,Lowe,9811213259,0
Teresa,Lara,7010150320,1
Kristy,Smith,3101239299,0
Crystal,Porter,0302268934,1
Connie,Mercado,4606056211,0
Micheal,Roy,6402062025,1
Rachel,Alvarado,2511081618,0
Melissa,Porter,4010037056,1
Steven,Martin,2004100316,1
Pamela,Suarez,4708263150,0
Kevin,Diaz,6301156981,0
Justin,Robinson,4701227892,0
Mark,Shelton,8101103562,0
Austin,Allison,3109197988,1
Patrick,Flores,0210142837,1
Kathy,Newton,7011189697,1
Jeremy,Pace,2803281097,1
Janet,Garcia,0406233597,1
Thomas,Bishop,9706125487,0
Leah,Best,0411266093,1
Jeffrey,Barnett,8010172488,1
David,Mosley,5804203262,1
Mark,Garcia,2205213956,1
James,Richards,3808122355,0
Kathleen,Mcneil,3004137414,0
Jacob,Gibbs,4707228904,0
Margaret,Herman,0201216459,0
Alexander,Boyer,5608014441,1
Shawn,Hanson,1301203554,0
Christopher,Hale,8609105029,1
Heather,Moreno,0101023957,0
Colin,Patterson,2106088040,0
Andrea,Mccarty,2407023826,1
Christopher,Small,7709014821,1
Anne,Wagner,3405106819,1
Mark,Browning,4605022873,1
Joseph,Russell,1206167456,1
Julie,Garcia,3309167737,0
Peter,Hunter,2809153485,1
Brandy,Harrington,0109156556,0
Abigail,Evans,5911108326,0
Charles,Cantu,4006096693,1
Tiffany,Williams,3911078349,0
Leslie,Andrews,4302261725,1
Tina,Ryan,6310012120,1
Jennifer,Castillo,9810198524,1
Teresa,Flores,1310111688,1
Amber,Carter,3505219500,0
